Metric,Mean,Width,Min,Max,Autocorr
Nq_CheckIn,0.001446085076057796,2.311240137301332E-4,0.0012149610623276629,0.0016772090897879293,0.024297551540246553
Nq_Recupero,0.0,0.0,0.0,0.0,0.0
Nq_TraceDetection,0.10488489653572813,0.0037308260074515463,0.10115407052827659,0.10861572254317968,-0.1187405496863473
Nq_Varchi,0.09024403595297051,7.391105299714419E-4,0.08950492542299907,0.09098314648294195,0.13603575580991129
Nq_XRay,0.1953221889005031,0.00480616079018045,0.19051602811032264,0.20012834969068355,-0.05735892155924965
Ns_CheckIn,2.5213437762110855,0.013112793283950389,2.508230982927135,2.534456569495036,-0.10052198944541581
Ns_Recupero,7.59970960544732,0.024304390514458128,7.575405214932862,7.624013995961778,0.13116786668119004
Ns_TraceDetection,0.46593730603733235,0.006956748782178708,0.45898055725515363,0.4728940548195111,-0.15892590995941883
Ns_Varchi,0.9182556154504103,0.003219243046581763,0.9150363724038286,0.9214748584969921,0.08321711170599408
Ns_XRay,3.3971652525930383,0.013745270214735456,3.3834199823783027,3.410910522807774,0.013437442196026368
X_CheckIn,2.5198976911350277,0.013078670085653579,2.506819021049374,2.5329763612206815,-0.10009066974125606
X_Recupero,7.59970960544732,0.024304390514458128,7.575405214932862,7.624013995961778,0.13116786668119004
X_TraceDetection,0.3610524095016042,0.004046799266214013,0.35700561023539024,0.3650992087678182,-0.2136485772218274
X_Varchi,0.8280115794974399,0.002726678068814436,0.8252849014286254,0.8307382575662543,0.04312686114339071
X_XRay,3.2018430636925355,0.010065962752366802,3.1917771009401688,3.211909026444902,0.03652883200590502
