Time,Center,Metric,Value
100.0,TraceDetection,TimeTotal,0.0
100.0,TraceDetection,NumTotal,0.0
100.0,TraceDetection,SystemResponseTime_Success,0.0
100.0,TraceDetection,BusyServers,0.0
100.0,TraceDetection,TimeQueue,0.0
100.0,TraceDetection,TimeService,0.0
100.0,TraceDetection,NumQueue,0.0
100.0,XRay,TimeTotal,47.35758787640686
100.0,XRay,NumTotal,2.0
100.0,XRay,SystemResponseTime_Success,0.0
100.0,XRay,BusyServers,2.0
100.0,XRay,TimeQueue,0.0
100.0,XRay,TimeService,47.35758787640686
100.0,XRay,NumQueue,0.0
100.0,CheckIn,TimeTotal,0.0
100.0,CheckIn,NumTotal,4.0
100.0,CheckIn,SystemResponseTime_Success,0.0
100.0,CheckIn,BusyServers,4.0
100.0,CheckIn,TimeQueue,0.0
100.0,CheckIn,TimeService,0.0
100.0,CheckIn,NumQueue,0.0
100.0,Varchi,TimeTotal,10.156945932838761
100.0,Varchi,NumTotal,1.0
100.0,Varchi,SystemResponseTime_Success,0.0
100.0,Varchi,BusyServers,1.0
100.0,Varchi,TimeQueue,0.0
100.0,Varchi,TimeService,10.156945932838761
100.0,Varchi,NumQueue,0.0
100.0,Recupero,TimeTotal,0.0
100.0,Recupero,NumTotal,4.0
100.0,Recupero,SystemResponseTime_Success,0.0
100.0,Recupero,BusyServers,4.0
100.0,Recupero,TimeQueue,0.0
100.0,Recupero,TimeService,0.0
100.0,Recupero,NumQueue,0.0
200.0,Varchi,TimeTotal,13.684652826549552
200.0,Varchi,NumTotal,0.0
200.0,Varchi,SystemResponseTime_Success,181.06718557764907
200.0,Varchi,BusyServers,0.0
200.0,Varchi,TimeQueue,1.1726344481348796
200.0,Varchi,TimeService,12.512018378414671
200.0,Varchi,NumQueue,0.0
200.0,XRay,TimeTotal,52.245029627467765
200.0,XRay,NumTotal,11.0
200.0,XRay,SystemResponseTime_Success,181.06718557764907
200.0,XRay,BusyServers,6.0
200.0,XRay,TimeQueue,2.969143673992617
200.0,XRay,TimeService,52.245029627467765
200.0,XRay,NumQueue,5.0
200.0,TraceDetection,TimeTotal,0.0
200.0,TraceDetection,NumTotal,0.0
200.0,TraceDetection,SystemResponseTime_Success,181.06718557764907
200.0,TraceDetection,BusyServers,0.0
200.0,TraceDetection,TimeQueue,0.0
200.0,TraceDetection,TimeService,0.0
200.0,TraceDetection,NumQueue,0.0
200.0,Recupero,TimeTotal,109.28243417355816
200.0,Recupero,NumTotal,9.0
200.0,Recupero,SystemResponseTime_Success,181.06718557764907
200.0,Recupero,BusyServers,9.0
200.0,Recupero,TimeQueue,0.0
200.0,Recupero,TimeService,109.28243417355816
200.0,Recupero,NumQueue,0.0
200.0,CheckIn,TimeTotal,113.4088605418115
200.0,CheckIn,NumTotal,3.0
200.0,CheckIn,SystemResponseTime_Success,181.06718557764907
200.0,CheckIn,BusyServers,3.0
200.0,CheckIn,TimeQueue,0.0
200.0,CheckIn,TimeService,113.4088605418115
200.0,CheckIn,NumQueue,0.0
300.0,Recupero,TimeTotal,111.44626244542837
300.0,Recupero,NumTotal,12.0
300.0,Recupero,SystemResponseTime_Success,185.68856983254724
300.0,Recupero,BusyServers,12.0
300.0,Recupero,TimeQueue,0.0
300.0,Recupero,TimeService,111.44626244542837
300.0,Recupero,NumQueue,0.0
300.0,CheckIn,TimeTotal,100.01687800020032
300.0,CheckIn,NumTotal,8.0
300.0,CheckIn,SystemResponseTime_Success,185.68856983254724
300.0,CheckIn,BusyServers,8.0
300.0,CheckIn,TimeQueue,0.3379478109600963
300.0,CheckIn,TimeService,100.01687800020032
300.0,CheckIn,NumQueue,0.0
300.0,Varchi,TimeTotal,15.837005868245328
300.0,Varchi,NumTotal,2.0
300.0,Varchi,SystemResponseTime_Success,185.68856983254724
300.0,Varchi,BusyServers,1.0
300.0,Varchi,TimeQueue,2.728232271000628
300.0,Varchi,TimeService,13.452293410214596
300.0,Varchi,NumQueue,1.0
300.0,XRay,TimeTotal,60.67705299020377
300.0,XRay,NumTotal,10.0
300.0,XRay,SystemResponseTime_Success,185.68856983254724
300.0,XRay,BusyServers,6.0
300.0,XRay,TimeQueue,11.87373732614173
300.0,XRay,TimeService,50.09006665475568
300.0,XRay,NumQueue,4.0
300.0,TraceDetection,TimeTotal,60.13368708039306
300.0,TraceDetection,NumTotal,2.0
300.0,TraceDetection,SystemResponseTime_Success,185.68856983254724
300.0,TraceDetection,BusyServers,1.0
300.0,TraceDetection,TimeQueue,24.380971164141272
300.0,TraceDetection,TimeService,60.13368708039306
300.0,TraceDetection,NumQueue,1.0
400.0,Varchi,TimeTotal,16.2702752670163
400.0,Varchi,NumTotal,3.0
400.0,Varchi,SystemResponseTime_Success,207.85257042490068
400.0,Varchi,BusyServers,3.0
400.0,Varchi,TimeQueue,2.6923321332063663
400.0,Varchi,TimeService,13.402356255557345
400.0,Varchi,NumQueue,0.0
400.0,XRay,TimeTotal,63.933809887498164
400.0,XRay,NumTotal,11.0
400.0,XRay,SystemResponseTime_Success,207.85257042490068
400.0,XRay,BusyServers,6.0
400.0,XRay,TimeQueue,17.63060804380219
400.0,XRay,TimeService,50.37740210515723
400.0,XRay,NumQueue,5.0
400.0,TraceDetection,TimeTotal,94.18182065045535
400.0,TraceDetection,NumTotal,1.0
400.0,TraceDetection,SystemResponseTime_Success,207.85257042490068
400.0,TraceDetection,BusyServers,1.0
400.0,TraceDetection,TimeQueue,41.84551283204162
400.0,TraceDetection,TimeService,59.64007302382772
400.0,TraceDetection,NumQueue,0.0
400.0,Recupero,TimeTotal,114.57358163618693
400.0,Recupero,NumTotal,15.0
400.0,Recupero,SystemResponseTime_Success,207.85257042490068
400.0,Recupero,BusyServers,15.0
400.0,Recupero,TimeQueue,0.0
400.0,Recupero,TimeService,114.57358163618693
400.0,Recupero,NumQueue,0.0
