Time,Center,Metric,Value
400.0,CheckIn,TimeTotal,112.27978008792707
400.0,CheckIn,NumTotal,1.0
400.0,CheckIn,SystemResponseTime_Success,213.42466837150312
400.0,CheckIn,BusyServers,1.0
400.0,CheckIn,TimeQueue,0.0
400.0,CheckIn,TimeService,112.27978008792707
400.0,CheckIn,NumQueue,0.0
400.0,XRay,TimeTotal,51.191965524016965
400.0,XRay,NumTotal,3.0
400.0,XRay,SystemResponseTime_Success,213.42466837150312
400.0,XRay,BusyServers,3.0
400.0,XRay,TimeQueue,0.0
400.0,XRay,TimeService,51.191965524016965
400.0,XRay,NumQueue,0.0
400.0,TraceDetection,TimeTotal,74.88338057779102
400.0,TraceDetection,NumTotal,0.0
400.0,TraceDetection,SystemResponseTime_Success,213.42466837150312
400.0,TraceDetection,BusyServers,0.0
400.0,TraceDetection,TimeQueue,6.411354055390348
400.0,TraceDetection,TimeService,68.47202652240067
400.0,TraceDetection,NumQueue,0.0
400.0,Varchi,TimeTotal,19.845064185248745
400.0,Varchi,NumTotal,1.0
400.0,Varchi,SystemResponseTime_Success,213.42466837150312
400.0,Varchi,BusyServers,1.0
400.0,Varchi,TimeQueue,0.0
400.0,Varchi,TimeService,19.845064185248745
400.0,Varchi,NumQueue,0.0
400.0,Recupero,TimeTotal,113.70589627616064
400.0,Recupero,NumTotal,4.0
400.0,Recupero,SystemResponseTime_Success,213.42466837150312
400.0,Recupero,BusyServers,4.0
400.0,Recupero,TimeQueue,0.0
400.0,Recupero,TimeService,113.70589627616064
400.0,Recupero,NumQueue,0.0
800.0,XRay,TimeTotal,53.41295874691015
800.0,XRay,NumTotal,2.0
800.0,XRay,SystemResponseTime_Success,219.57360041620285
800.0,XRay,BusyServers,2.0
800.0,XRay,TimeQueue,0.11800260171224322
800.0,XRay,TimeService,53.289056015112294
800.0,XRay,NumQueue,0.0
800.0,Varchi,TimeTotal,18.24186274589394
800.0,Varchi,NumTotal,1.0
800.0,Varchi,SystemResponseTime_Success,219.57360041620285
800.0,Varchi,BusyServers,1.0
800.0,Varchi,TimeQueue,0.0
800.0,Varchi,TimeService,18.24186274589394
800.0,Varchi,NumQueue,0.0
800.0,TraceDetection,TimeTotal,74.88338057779102
800.0,TraceDetection,NumTotal,1.0
800.0,TraceDetection,SystemResponseTime_Success,219.57360041620285
800.0,TraceDetection,BusyServers,1.0
800.0,TraceDetection,TimeQueue,4.808515541542761
800.0,TraceDetection,TimeService,68.47202652240067
800.0,TraceDetection,NumQueue,0.0
800.0,Recupero,TimeTotal,112.61263263824685
800.0,Recupero,NumTotal,11.0
800.0,Recupero,SystemResponseTime_Success,219.57360041620285
800.0,Recupero,BusyServers,11.0
800.0,Recupero,TimeQueue,0.0
800.0,Recupero,TimeService,112.61263263824685
800.0,Recupero,NumQueue,0.0
800.0,CheckIn,TimeTotal,112.64179410355813
800.0,CheckIn,NumTotal,1.0
800.0,CheckIn,SystemResponseTime_Success,219.57360041620285
800.0,CheckIn,BusyServers,1.0
800.0,CheckIn,TimeQueue,0.0
800.0,CheckIn,TimeService,112.64179410355813
800.0,CheckIn,NumQueue,0.0
1200.0,Recupero,TimeTotal,114.20590417423743
1200.0,Recupero,NumTotal,6.0
1200.0,Recupero,SystemResponseTime_Success,216.8311941570318
1200.0,Recupero,BusyServers,6.0
1200.0,Recupero,TimeQueue,0.0
1200.0,Recupero,TimeService,114.20590417423743
1200.0,Recupero,NumQueue,0.0
1200.0,CheckIn,TimeTotal,115.84595990671723
1200.0,CheckIn,NumTotal,4.0
