Time,Center,Metric,Value
400.0,XRay,TimeTotal,83.70729770916276
400.0,XRay,NumTotal,9.0
400.0,XRay,SystemResponseTime_Success,240.14136124499493
400.0,XRay,BusyServers,6.0
400.0,XRay,TimeQueue,27.06245402734118
400.0,XRay,TimeService,54.51241866059968
400.0,XRay,NumQueue,3.0
400.0,CheckIn,TimeTotal,105.09067450773541
400.0,CheckIn,NumTotal,3.0
400.0,CheckIn,SystemResponseTime_Success,240.14136124499493
400.0,CheckIn,BusyServers,3.0
400.0,CheckIn,TimeQueue,0.0
400.0,CheckIn,TimeService,105.09067450773541
400.0,CheckIn,NumQueue,0.0
400.0,TraceDetection,TimeTotal,93.7555039001032
400.0,TraceDetection,NumTotal,2.0
400.0,TraceDetection,SystemResponseTime_Success,240.14136124499493
400.0,TraceDetection,BusyServers,1.0
400.0,TraceDetection,TimeQueue,20.328472288978162
400.0,TraceDetection,TimeService,63.26279546663595
400.0,TraceDetection,NumQueue,1.0
400.0,Varchi,TimeTotal,15.997758918395595
400.0,Varchi,NumTotal,1.0
400.0,Varchi,SystemResponseTime_Success,240.14136124499493
400.0,Varchi,BusyServers,1.0
400.0,Varchi,TimeQueue,3.3356607696845884
400.0,Varchi,TimeService,12.571945154935745
400.0,Varchi,NumQueue,0.0
400.0,Recupero,TimeTotal,124.80214002226077
400.0,Recupero,NumTotal,10.0
400.0,Recupero,SystemResponseTime_Success,240.14136124499493
400.0,Recupero,BusyServers,10.0
400.0,Recupero,TimeQueue,0.0
400.0,Recupero,TimeService,124.80214002226077
400.0,Recupero,NumQueue,0.0
800.0,Varchi,TimeTotal,14.321894474440642
800.0,Varchi,NumTotal,4.0
800.0,Varchi,SystemResponseTime_Success,255.1873170683145
800.0,Varchi,BusyServers,2.0
800.0,Varchi,TimeQueue,2.437544058379019
800.0,Varchi,TimeService,11.828951687462103
800.0,Varchi,NumQueue,2.0
800.0,XRay,TimeTotal,84.42197153016238
800.0,XRay,NumTotal,14.0
800.0,XRay,SystemResponseTime_Success,255.1873170683145
800.0,XRay,BusyServers,6.0
800.0,XRay,TimeQueue,35.89557872811592
800.0,XRay,TimeService,51.50838953527599
800.0,XRay,NumQueue,8.0
800.0,TraceDetection,TimeTotal,97.79531131012038
800.0,TraceDetection,NumTotal,0.0
800.0,TraceDetection,SystemResponseTime_Success,255.1873170683145
800.0,TraceDetection,BusyServers,0.0
800.0,TraceDetection,TimeQueue,40.59968601945929
800.0,TraceDetection,TimeService,57.19562529066109
800.0,TraceDetection,NumQueue,0.0
800.0,Recupero,TimeTotal,118.56747707913902
800.0,Recupero,NumTotal,12.0
800.0,Recupero,SystemResponseTime_Success,255.1873170683145
800.0,Recupero,BusyServers,12.0
800.0,Recupero,TimeQueue,0.0
800.0,Recupero,TimeService,118.56747707913902
800.0,Recupero,NumQueue,0.0
800.0,CheckIn,TimeTotal,99.74836935793161
800.0,CheckIn,NumTotal,7.0
800.0,CheckIn,SystemResponseTime_Success,255.1873170683145
800.0,CheckIn,BusyServers,7.0
800.0,CheckIn,TimeQueue,4.760725951572095
800.0,CheckIn,TimeService,96.30724556264826
800.0,CheckIn,NumQueue,0.0
1200.0,Recupero,TimeTotal,119.07816371600448
1200.0,Recupero,NumTotal,13.0
1200.0,Recupero,SystemResponseTime_Success,286.03209628475923
1200.0,Recupero,BusyServers,13.0
1200.0,Recupero,TimeQueue,0.0
1200.0,Recupero,TimeService,119.07816371600448
1200.0,Recupero,NumQueue,0.0
1200.0,CheckIn,TimeTotal,107.92325159780583
1200.0,CheckIn,NumTotal,8.0
1200.0,CheckIn,SystemResponseTime_Success,286.03209628475923
1200.0,CheckIn,BusyServers,8.0
1200.0,CheckIn,TimeQueue,14.644754853926695
1200.0,CheckIn,TimeService,98.39772613210279
1200.0,CheckIn,NumQueue,0.0
1200.0,Varchi,TimeTotal,15.095825152849072
1200.0,Varchi,NumTotal,3.0
1200.0,Varchi,SystemResponseTime_Success,286.03209628475923
1200.0,Varchi,BusyServers,2.0
1200.0,Varchi,TimeQueue,2.889917574488303
1200.0,Varchi,TimeService,12.166854638164983
1200.0,Varchi,NumQueue,1.0
1200.0,XRay,TimeTotal,105.58271183794311
1200.0,XRay,NumTotal,23.0
1200.0,XRay,SystemResponseTime_Success,286.03209628475923
1200.0,XRay,BusyServers,6.0
1200.0,XRay,TimeQueue,58.01690832179399
1200.0,XRay,TimeService,50.299600545739295
1200.0,XRay,NumQueue,17.0
1200.0,TraceDetection,TimeTotal,87.4256905419823
1200.0,TraceDetection,NumTotal,1.0
1200.0,TraceDetection,SystemResponseTime_Success,286.03209628475923
1200.0,TraceDetection,BusyServers,1.0
1200.0,TraceDetection,TimeQueue,28.419780213621504
1200.0,TraceDetection,TimeService,55.84815697129175
1200.0,TraceDetection,NumQueue,0.0
1600.0,CheckIn,TimeTotal,112.77979070590432
1600.0,CheckIn,NumTotal,3.0
1600.0,CheckIn,SystemResponseTime_Success,309.989427795593
1600.0,CheckIn,BusyServers,3.0
1600.0,CheckIn,TimeQueue,11.9559618303571
1600.0,CheckIn,TimeService,100.41623926769422
1600.0,CheckIn,NumQueue,0.0
1600.0,Varchi,TimeTotal,15.447624817240511
1600.0,Varchi,NumTotal,0.0
1600.0,Varchi,SystemResponseTime_Success,309.989427795593
1600.0,Varchi,BusyServers,0.0
1600.0,Varchi,TimeQueue,2.9315687477925416
1600.0,Varchi,TimeService,12.516056069447982
1600.0,Varchi,NumQueue,0.0
1600.0,XRay,TimeTotal,131.57132105353008
1600.0,XRay,NumTotal,29.0
1600.0,XRay,SystemResponseTime_Success,309.989427795593
1600.0,XRay,BusyServers,6.0
1600.0,XRay,TimeQueue,85.16404631467886
1600.0,XRay,TimeService,48.96786365313476
1600.0,XRay,NumQueue,23.0
1600.0,TraceDetection,TimeTotal,81.86676365229015
1600.0,TraceDetection,NumTotal,0.0
1600.0,TraceDetection,SystemResponseTime_Success,309.989427795593
1600.0,TraceDetection,BusyServers,0.0
1600.0,TraceDetection,TimeQueue,23.801282961611072
1600.0,TraceDetection,TimeService,58.065480690679074
1600.0,TraceDetection,NumQueue,0.0
1600.0,Recupero,TimeTotal,118.52611292653368
1600.0,Recupero,NumTotal,19.0
1600.0,Recupero,SystemResponseTime_Success,309.989427795593
1600.0,Recupero,BusyServers,19.0
1600.0,Recupero,TimeQueue,0.0
1600.0,Recupero,TimeService,118.52611292653368
1600.0,Recupero,NumQueue,0.0
2000.0,CheckIn,TimeTotal,110.52940694639575
2000.0,CheckIn,NumTotal,3.0
2000.0,CheckIn,SystemResponseTime_Success,335.59776257100077
2000.0,CheckIn,BusyServers,3.0
2000.0,CheckIn,TimeQueue,10.264080439268831
2000.0,CheckIn,TimeService,99.96637270792499
2000.0,CheckIn,NumQueue,0.0
2000.0,Varchi,TimeTotal,15.583288821958483
2000.0,Varchi,NumTotal,1.0
2000.0,Varchi,SystemResponseTime_Success,335.59776257100077
2000.0,Varchi,BusyServers,1.0
2000.0,Varchi,TimeQueue,2.949298642645292
2000.0,Varchi,TimeService,12.669205366942933
2000.0,Varchi,NumQueue,0.0
2000.0,XRay,TimeTotal,151.8748565904656
2000.0,XRay,NumTotal,31.0
2000.0,XRay,SystemResponseTime_Success,335.59776257100077
2000.0,XRay,BusyServers,6.0
2000.0,XRay,TimeQueue,104.915465161394
2000.0,XRay,TimeService,49.0457338940707
2000.0,XRay,NumQueue,25.0
2000.0,TraceDetection,TimeTotal,77.92487862082362
