Center,Model,Rho,Theory_Ts,Sim_Ts,Error_%,Status
CheckIn,M/M/8,0.34181380504518255,105.15244172014343,105.17370292711809,0.02021941347899681,OK
Varchi,M/M/4,0.21860475815789235,13.05404047958053,15.391878371119828,17.908921725776818,WARNING
XRay,k*M/M/1 (RoundRobin),0.49326201840755196,86.82988368412394,60.36548024064607,30.47845087499138,WARNING
TraceDetection,M/M/1,0.4035780150607244,100.59991334174052,100.96412884612143,0.36204355678086797,OK
Recupero,M/M/inf,0.0,120.0,120.06128877951302,0.05107398292751715,OK
