Metric,Mean,Width,Min,Max,Autocorr
Nq_CheckIn,0.2941743001689966,0.011788410662976572,0.28238588950602,0.3059627108319732,-0.17019189334056892
Nq_Recupero,0.0,0.0,0.0,0.0,0.0
Nq_TraceDetection,1.3296925682820897,0.06781156366877565,1.261881004613314,1.3975041319508654,-0.10433301468061439
Nq_Varchi,0.5103655827641129,0.0029364048666148295,0.5074291778974981,0.5133019876307278,-0.020994685761800577
Nq_XRay,407.4673979684141,16.88664711720668,390.5807508512074,424.3540450856208,0.042128747826448446
Ns_CheckIn,5.732910241336191,0.027854274777283104,5.705055966558908,5.760764516113475,-0.23195019969119546
Ns_Recupero,15.64996281676564,0.020693442339933733,15.629269374425707,15.670656259105574,-0.2802753039729542
Ns_TraceDetection,2.103100666277094,0.0719053088726725,2.0311953574044215,2.1750059751497663,-0.10968518244032764
Ns_Varchi,2.5263389787451627,0.007230855608492259,2.5191081231366703,2.533569834353655,-0.06144404918032489
Ns_XRay,413.4088986717051,16.88762951265635,396.52126915904876,430.2965281843615,0.04214017350500913
X_CheckIn,5.438735941167194,0.019096424318521293,5.419639516848673,5.457832365485715,-0.20592112285813172
X_Recupero,15.64996281676564,0.020693442339933733,15.629269374425707,15.670656259105574,-0.2802753039729542
X_TraceDetection,0.7734080979950041,0.005389315136129129,0.7680187828588749,0.7787974131311333,-0.13021153108916758
X_Varchi,2.0159733959810504,0.0045771449312714384,2.011396251049779,2.0205505409123217,-0.09083092929494394
X_XRay,5.941500703290919,0.005283401277268845,5.936217302013651,5.946784104568188,-0.36643275559429994
