Metric,Mean,Width,Min,Max,Autocorr
S_CheckIn,104.6791888344992,0.07845590522207568,104.60073292927713,104.75764473972127,0.16954188178360968
S_Recupero,125.33289411530654,0.06551745739137778,125.26737665791516,125.39841157269792,-0.20934556547133804
S_TraceDetection,61.48391143621248,0.12275318487478956,61.36115825133769,61.60666462108727,-0.10573812558111335
S_Varchi,15.015435048078826,0.006732442351995957,15.00870260572683,15.022167490430823,-0.1055559636352015
S_XRay,47.519930999461614,0.03463104009387099,47.485299959367744,47.554562039555485,0.041340562086663556
SystemResponseTime_Success,3510.0031584875474,135.28360252925606,3374.7195559582915,3645.286761016803,0.044621409120960215
Tq_CheckIn,5.655702330457326,0.21549848680384073,5.440203843653485,5.871200817261167,-0.1515537862015563
Tq_Recupero,0.0,0.0,0.0,0.0,0.0
Tq_TraceDetection,105.39981604770381,4.910711692337027,100.48910435536678,110.31052774004084,-0.10715835847539837
Tq_Varchi,3.800992929056258,0.0157485559145206,3.7852443731417376,3.8167414849707786,0.007197075719776303
Tq_XRay,3258.8552618671324,135.04743895643136,3123.807822910701,3393.902700823564,0.04448098450206551
Ts_CheckIn,110.33489116495652,0.23744144460061967,110.0974497203559,110.57233260955714,-0.08731589143148119
Ts_Recupero,125.33289411530654,0.06551745739137778,125.26737665791516,125.39841157269792,-0.20934556547133804
Ts_TraceDetection,166.8837274839163,4.959065578617836,161.92466190529845,171.84279306253413,-0.11466161379541914
Ts_Varchi,18.816427977135078,0.019094300594373035,18.797333676540706,18.83552227772945,0.025040247651477006
Ts_XRay,3306.3751928665924,135.0537667231868,3171.3214261434055,3441.4289595897794,0.04454019032753731
