Metric,Mean,Width,Min,Max,Autocorr
Nq_CheckIn,0.001451375188903435,2.5364418336048E-4,0.001197731005542955,0.001705019372263915,0.1130439865213365
Nq_Recupero,0.0,0.0,0.0,0.0,0.0
Nq_TraceDetection,0.10566963031990277,0.002308586029982386,0.10336104428992038,0.10797821634988516,-0.011983272627208486
Nq_Varchi,0.09170955362613914,0.0019144226356647084,0.08979513099047443,0.09362397626180385,0.09012910754032753
Nq_XRay,0.20214123059217812,0.011371680283647283,0.19076955030853082,0.2135129108758254,-0.008005958466996893
Ns_CheckIn,2.5291894801915324,0.015164349118470585,2.514025131073062,2.544353829310003,-0.05524609179306473
Ns_Recupero,7.6457812173981985,0.04999986774723805,7.59578134965096,7.695781085145437,0.09043973092271698
Ns_TraceDetection,0.4692402597702643,0.0042376697927682975,0.465002589977496,0.4734779295630326,0.01107132590958124
Ns_Varchi,0.9232481930204363,0.006921411457247794,0.9163267815631885,0.930169604477684,0.08606669918237717
Ns_XRay,3.421931442565176,0.03046534143427301,3.391466101130903,3.4523967839994487,0.029902076220855056
S_CheckIn,102.41459962327819,0.15353774268389173,102.2610618805943,102.56813736596209,0.0654170402871274
S_Recupero,119.90572153731686,0.1606095800952994,119.74511195722157,120.06633111741216,0.07183455601528307
S_TraceDetection,56.918553900659155,0.08392946126600234,56.83462443939315,57.00248336192516,-0.0014958797172858066
S_Varchi,13.040770615292693,0.026659560532766295,13.014111054759928,13.067430175825459,-0.0648214597425234
S_XRay,50.49519464882272,0.11452955995552512,50.38066508886719,50.609724208778246,-0.10832909834332681
Tq_CheckIn,0.05867116758177213,0.010331717301140641,0.04833945028063148,0.06900288488291277,0.11827144575673403
Tq_Recupero,0.0,0.0,0.0,0.0,0.0
Tq_TraceDetection,16.52527195160912,0.3073182767556566,16.217953674853465,16.832590228364776,-0.020464691796307815
Tq_Varchi,1.4370310458569209,0.02611799620817417,1.4109130496487468,1.463149042065095,0.05817467620146711
Tq_XRay,3.1564324156198027,0.16393649037148258,2.99249592524832,3.3203689059912853,-0.01633475879482935
Ts_CheckIn,102.47326925204736,0.15369975830302648,102.31956949374434,102.62696901035038,0.07635250603943092
Ts_Recupero,119.90572153731686,0.1606095800952994,119.74511195722157,120.06633111741216,0.07183455601528307
Ts_TraceDetection,73.44383921556577,0.31894980574492837,73.12488940982085,73.7627890213107,0.01375928784976732
Ts_Varchi,14.477772748627624,0.0435626494952236,14.4342100991324,14.521335398122847,-0.019314087464527258
Ts_XRay,53.65155635280906,0.22390956338265885,53.4276467894264,53.87546591619172,-0.07969202433051496
X_CheckIn,2.527738105002629,0.015130469416192678,2.5126076355864364,2.5428685744188217,-0.053690570476317326
X_Recupero,7.6457812173981985,0.04999986774723805,7.59578134965096,7.695781085145437,0.09043973092271698
X_TraceDetection,0.36357062945036156,0.0024355145852200484,0.3611351148651415,0.3660061440355816,0.02914635157066802
X_Varchi,0.8315386393942972,0.005543483564238539,0.8259951558300587,0.8370821229585357,0.08058003228326441
X_XRay,3.2197902119729975,0.021644573290010672,3.1981456386829867,3.2414347852630083,0.043780431988111435
