Metric,NumBatch,Value
Ts_Varchi,1,16.809076131251675
Ts_Varchi,2,17.152633651129857
Ts_Varchi,3,16.969688364754578
Ts_Varchi,4,16.848884322525354
Ts_Varchi,5,16.854230088222984
Ts_Varchi,6,16.78568851737555
Ts_Varchi,7,17.044530200871183
Ts_Varchi,8,16.676907210163552
Ts_Varchi,9,16.76402536974654
Ts_Varchi,10,16.770188348189603
Ts_Varchi,11,16.593828733212824
Ts_Varchi,12,16.92833616364353
Ts_Varchi,13,17.148614080041526
Ts_Varchi,14,16.980622914310327
Ts_Varchi,15,16.584971659436835
Ts_Varchi,16,16.682542379571746
Ts_Varchi,17,16.514316795650746
Ts_Varchi,18,16.661563532112364
Ts_Varchi,19,17.08236519124459
Ts_Varchi,20,16.98129923470869
Ts_Varchi,21,17.10440473889795
Ts_Varchi,22,17.056192835857896
Ts_Varchi,23,16.80961119860499
Ts_Varchi,24,16.95594728606035
Ts_Varchi,25,16.871112864033893
Ts_Varchi,26,17.031833177665465
Ts_Varchi,27,16.86095893763068
Ts_Varchi,28,16.588620192593684
Ts_Varchi,29,16.77366891487327
Ts_Varchi,30,17.003300301402728
Ts_Varchi,31,16.90784169035302
Ts_Varchi,32,17.007720372167036
Ts_Varchi,33,16.874404922584223
Ts_Varchi,34,16.68976423078113
Ts_Varchi,35,16.592250671873355
Ts_Varchi,36,16.309725502928874
Ts_Varchi,37,17.10369793759687
Ts_Varchi,38,16.90764993580125
Ts_Varchi,39,16.86934414509462
Ts_Varchi,40,16.923798165585268
Ts_Varchi,41,17.008165686328667
Ts_Varchi,42,16.66760894440414
Ts_Varchi,43,16.63143582517902
Ts_Varchi,44,16.49000865768359
Ts_Varchi,45,16.69418724336159
Ts_Varchi,46,16.917675946271952
Ts_Varchi,47,16.82215872767362
Ts_Varchi,48,17.210717698087684
Ts_Varchi,49,17.085768965840302
Ts_Varchi,50,16.894783061217726
Ts_Varchi,51,17.22143674198693
Ts_Varchi,52,16.776811737859088
Ts_Varchi,53,16.87569539180754
Ts_Varchi,54,16.931400496400116
Ts_Varchi,55,16.369470563575334
Ts_Varchi,56,16.952737301683346
Ts_Varchi,57,16.657118636168565
Ts_Varchi,58,17.035383252904392
Ts_Varchi,59,17.180162876486428
Ts_Varchi,60,16.643717399218954
Ts_Varchi,61,16.851365767318875
Ts_Varchi,62,16.87950422735335
