Metric,Mean,Width,Min,Max,Autocorr
Nq_CheckIn,0.0025677706669710236,3.8412532819386935E-4,0.0021836453387771545,0.0029518959951648927,0.008249396994680391
Nq_Recupero,0.0,0.0,0.0,0.0,0.0
Nq_TraceDetection,0.15411402358401444,0.00352629240747844,0.150587731176536,0.15764031599149286,-0.04710734423062686
Nq_Varchi,0.12418657479289179,0.0024683197519436476,0.12171825504094815,0.12665489454483544,0.10659424225424861
Nq_XRay,0.17621716612261437,0.010533821742649883,0.1656833443799645,0.18675098786526426,-0.0278385100728959
Ns_CheckIn,2.737128734853106,0.016755272928882726,2.7203734619242232,2.753884007781989,-0.04052652289625699
Ns_Recupero,8.454219034510011,0.05730502476226352,8.396914009747748,8.511524059272274,0.09718070652982287
Ns_TraceDetection,0.5694817649104009,0.005764740919411268,0.5637170239909897,0.5752465058298122,3.8026870403656967E-4
Ns_Varchi,1.1368206594117092,0.008565915193335293,1.128254744218374,1.1453865746050444,0.056603349987287
Ns_XRay,3.3858381193702236,0.029035811792909542,3.356802307577314,3.4148739311631333,0.024044262938541113
S_CheckIn,104.76222894111667,0.14653739924814774,104.61569154186853,104.90876634036482,6.146560442551817E-4
S_Recupero,125.35209872942073,0.22365964552973966,125.128439083891,125.57575837495047,-0.037809968996215845
S_TraceDetection,61.491882102203114,0.10760129977855509,61.384280802424556,61.59948340198167,-0.05061052714519503
S_Varchi,15.015386663069174,0.01718937963700281,14.998197283432171,15.032576042706177,-0.11960509084406265
S_XRay,47.5931240206565,0.09621711799805242,47.496906902658445,47.68934113865455,-0.10109196564410147
Tq_CheckIn,0.09796220355450636,0.014673441870335703,0.08328876168417065,0.11263564542484206,0.007120832817691425
Tq_Recupero,0.0,0.0,0.0,0.0,0.0
Tq_TraceDetection,22.7865522479488,0.4417904633653703,22.34476178458343,23.228342711314173,-0.07584696788416785
Tq_Varchi,1.8391950505777714,0.0293083148229082,1.8098867357548631,1.8685033654006797,0.14563931695780621
Tq_XRay,2.600797819177938,0.14269249538966605,2.458105323788272,2.743490314567604,-0.025966262098717843
Ts_CheckIn,104.86018928016308,0.14695400920535454,104.71323527095772,105.00714328936844,0.016413351490028438
Ts_Recupero,125.35209872942073,0.22365964552973966,125.128439083891,125.57575837495047,-0.037809968996215845
Ts_TraceDetection,84.27867790472337,0.46793931209104983,83.81073859263232,84.74661721681441,-0.05998934133300488
Ts_Varchi,16.854625121121206,0.03898436446622728,16.81564075665498,16.893609485587433,0.07804987040168854
Ts_XRay,50.19400766273372,0.18859101699478104,50.00541664573894,50.382598679728495,-0.05659633574856777
X_CheckIn,2.734560964186135,0.016664573846249295,2.717896390339886,2.7512255380323842,-0.03863328800334825
X_Recupero,8.454219034510011,0.05730502476226352,8.396914009747748,8.511524059272274,0.09718070652982287
X_TraceDetection,0.4153677413263865,0.002819319501766846,0.41254842182461965,0.4181870608281533,0.04444565381416733
X_Varchi,1.0126340846188173,0.006535495036180852,1.0060985895826364,1.0191695796549982,0.05460899926864899
X_XRay,3.2096209532476094,0.0209761709124488,3.1886447823351607,3.230597124160058,0.05559753865259363
