Time,Center,Metric,Value
400.0,XRay,TimeTotal,50.63981241034943
400.0,XRay,NumTotal,6.0
400.0,XRay,SystemResponseTime_Success,205.96488733075017
400.0,XRay,BusyServers,6.0
400.0,XRay,TimeQueue,0.684049473249928
400.0,XRay,TimeService,49.760320230456664
400.0,XRay,NumQueue,0.0
400.0,CheckIn,TimeTotal,108.97591810257795
400.0,CheckIn,NumTotal,2.0
400.0,CheckIn,SystemResponseTime_Success,205.96488733075017
400.0,CheckIn,BusyServers,2.0
400.0,CheckIn,TimeQueue,0.0
400.0,CheckIn,TimeService,108.97591810257795
400.0,CheckIn,NumQueue,0.0
400.0,TraceDetection,TimeTotal,60.34643792915928
400.0,TraceDetection,NumTotal,1.0
400.0,TraceDetection,SystemResponseTime_Success,205.96488733075017
400.0,TraceDetection,BusyServers,1.0
400.0,TraceDetection,TimeQueue,6.936320752739675
400.0,TraceDetection,TimeService,60.34643792915928
400.0,TraceDetection,NumQueue,0.0
400.0,Varchi,TimeTotal,17.358019778237843
400.0,Varchi,NumTotal,5.0
400.0,Varchi,SystemResponseTime_Success,205.96488733075017
400.0,Varchi,BusyServers,4.0
400.0,Varchi,TimeQueue,2.248653601412196
400.0,Varchi,TimeService,15.086464150387583
400.0,Varchi,NumQueue,1.0
400.0,Recupero,TimeTotal,117.82000341581248
400.0,Recupero,NumTotal,7.0
400.0,Recupero,SystemResponseTime_Success,205.96488733075017
400.0,Recupero,BusyServers,7.0
400.0,Recupero,TimeQueue,0.0
400.0,Recupero,TimeService,117.82000341581248
400.0,Recupero,NumQueue,0.0
800.0,Varchi,TimeTotal,16.420251102667038
800.0,Varchi,NumTotal,2.0
800.0,Varchi,SystemResponseTime_Success,241.0871149073554
800.0,Varchi,BusyServers,2.0
800.0,Varchi,TimeQueue,1.7125630391992404
800.0,Varchi,TimeService,14.851551503754546
800.0,Varchi,NumQueue,0.0
800.0,XRay,TimeTotal,52.51637846924935
800.0,XRay,NumTotal,5.0
800.0,XRay,SystemResponseTime_Success,241.0871149073554
800.0,XRay,BusyServers,5.0
800.0,XRay,TimeQueue,2.69760489643018
800.0,XRay,TimeService,49.56428254485405
800.0,XRay,NumQueue,0.0
800.0,TraceDetection,TimeTotal,72.64152392434603
800.0,TraceDetection,NumTotal,1.0
800.0,TraceDetection,SystemResponseTime_Success,241.0871149073554
800.0,TraceDetection,BusyServers,1.0
800.0,TraceDetection,TimeQueue,18.30708719015738
800.0,TraceDetection,TimeService,58.23573719713312
800.0,TraceDetection,NumQueue,0.0
800.0,Recupero,TimeTotal,120.26010388541313
800.0,Recupero,NumTotal,8.0
800.0,Recupero,SystemResponseTime_Success,241.0871149073554
800.0,Recupero,BusyServers,8.0
800.0,Recupero,TimeQueue,0.0
800.0,Recupero,TimeService,120.26010388541313
800.0,Recupero,NumQueue,0.0
800.0,CheckIn,TimeTotal,114.44313789479855
800.0,CheckIn,NumTotal,1.0
800.0,CheckIn,SystemResponseTime_Success,241.0871149073554
800.0,CheckIn,BusyServers,1.0
800.0,CheckIn,TimeQueue,0.0
800.0,CheckIn,TimeService,114.44313789479855
800.0,CheckIn,NumQueue,0.0
1200.0,Recupero,TimeTotal,117.99419857409922
1200.0,Recupero,NumTotal,9.0
1200.0,Recupero,SystemResponseTime_Success,232.7064877735928
1200.0,Recupero,BusyServers,9.0
1200.0,Recupero,TimeQueue,0.0
1200.0,Recupero,TimeService,117.99419857409922
1200.0,Recupero,NumQueue,0.0
1200.0,CheckIn,TimeTotal,113.91956080663195
1200.0,CheckIn,NumTotal,0.0
1200.0,CheckIn,SystemResponseTime_Success,232.7064877735928
1200.0,CheckIn,BusyServers,0.0
1200.0,CheckIn,TimeQueue,0.0
1200.0,CheckIn,TimeService,113.91956080663195
1200.0,CheckIn,NumQueue,0.0
1200.0,Varchi,TimeTotal,15.9885025742791
1200.0,Varchi,NumTotal,2.0
1200.0,Varchi,SystemResponseTime_Success,232.7064877735928
1200.0,Varchi,BusyServers,2.0
1200.0,Varchi,TimeQueue,1.5174943882885674
1200.0,Varchi,TimeService,14.539694010653822
1200.0,Varchi,NumQueue,0.0
1200.0,XRay,TimeTotal,52.273527606438826
1200.0,XRay,NumTotal,2.0
1200.0,XRay,SystemResponseTime_Success,232.7064877735928
1200.0,XRay,BusyServers,2.0
1200.0,XRay,TimeQueue,2.3997449648547216
1200.0,XRay,TimeService,49.813029604499185
1200.0,XRay,NumQueue,0.0
1200.0,TraceDetection,TimeTotal,74.6553630923563
1200.0,TraceDetection,NumTotal,0.0
1200.0,TraceDetection,SystemResponseTime_Success,232.7064877735928
1200.0,TraceDetection,BusyServers,0.0
1200.0,TraceDetection,TimeQueue,16.018701291387707
1200.0,TraceDetection,TimeService,58.6366618009686
1200.0,TraceDetection,NumQueue,0.0
1600.0,CheckIn,TimeTotal,112.0052463190063
1600.0,CheckIn,NumTotal,3.0
1600.0,CheckIn,SystemResponseTime_Success,228.93181240724033
1600.0,CheckIn,BusyServers,3.0
1600.0,CheckIn,TimeQueue,0.0
1600.0,CheckIn,TimeService,112.0052463190063
1600.0,CheckIn,NumQueue,0.0
1600.0,Varchi,TimeTotal,16.547121949688588
1600.0,Varchi,NumTotal,1.0
1600.0,Varchi,SystemResponseTime_Success,228.93181240724033
1600.0,Varchi,BusyServers,1.0
1600.0,Varchi,TimeQueue,1.774920375517813
1600.0,Varchi,TimeService,14.755297570594413
1600.0,Varchi,NumQueue,0.0
1600.0,XRay,TimeTotal,50.584989559551694
1600.0,XRay,NumTotal,0.0
1600.0,XRay,SystemResponseTime_Success,228.93181240724033
1600.0,XRay,BusyServers,0.0
1600.0,XRay,TimeQueue,1.851231830030785
1600.0,XRay,TimeService,48.73375772952092
1600.0,XRay,NumQueue,0.0
1600.0,TraceDetection,TimeTotal,67.8484838161765
1600.0,TraceDetection,NumTotal,1.0
1600.0,TraceDetection,SystemResponseTime_Success,228.93181240724033
1600.0,TraceDetection,BusyServers,1.0
1600.0,TraceDetection,TimeQueue,11.649964575554696
1600.0,TraceDetection,TimeService,55.03352278306634
1600.0,TraceDetection,NumQueue,0.0
1600.0,Recupero,TimeTotal,121.95715548093683
1600.0,Recupero,NumTotal,9.0
1600.0,Recupero,SystemResponseTime_Success,228.93181240724033
1600.0,Recupero,BusyServers,9.0
1600.0,Recupero,TimeQueue,0.0
1600.0,Recupero,TimeService,121.95715548093683
1600.0,Recupero,NumQueue,0.0
2000.0,CheckIn,TimeTotal,108.06247958885152
2000.0,CheckIn,NumTotal,1.0
2000.0,CheckIn,SystemResponseTime_Success,230.08720337985744
2000.0,CheckIn,BusyServers,1.0
2000.0,CheckIn,TimeQueue,0.0
2000.0,CheckIn,TimeService,108.06247958885152
2000.0,CheckIn,NumQueue,0.0
2000.0,Varchi,TimeTotal,16.813865196429575
2000.0,Varchi,NumTotal,0.0
2000.0,Varchi,SystemResponseTime_Success,230.08720337985744
2000.0,Varchi,BusyServers,0.0
2000.0,Varchi,TimeQueue,1.773194145907176
2000.0,Varchi,TimeService,15.0406710505224
2000.0,Varchi,NumQueue,0.0
2000.0,XRay,TimeTotal,50.45573207681422
2000.0,XRay,NumTotal,2.0
2000.0,XRay,SystemResponseTime_Success,230.08720337985744
2000.0,XRay,BusyServers,2.0
2000.0,XRay,TimeQueue,1.640822852573886
2000.0,XRay,TimeService,48.789069494278536
2000.0,XRay,NumQueue,0.0
2000.0,TraceDetection,TimeTotal,74.72000273031958
2000.0,TraceDetection,NumTotal,0.0
2000.0,TraceDetection,SystemResponseTime_Success,230.08720337985744
2000.0,TraceDetection,BusyServers,0.0
2000.0,TraceDetection,TimeQueue,14.14991561608464
2000.0,TraceDetection,TimeService,60.57008711423494
2000.0,TraceDetection,NumQueue,0.0
2000.0,Recupero,TimeTotal,122.91017185199166
2000.0,Recupero,NumTotal,9.0
2000.0,Recupero,SystemResponseTime_Success,230.08720337985744
2000.0,Recupero,BusyServers,9.0
2000.0,Recupero,TimeQueue,0.0
2000.0,Recupero,TimeService,122.91017185199166
2000.0,Recupero,NumQueue,0.0
2400.0,CheckIn,TimeTotal,105.73044573292604
2400.0,CheckIn,NumTotal,2.0
2400.0,CheckIn,SystemResponseTime_Success,227.40860984134127
2400.0,CheckIn,BusyServers,2.0
2400.0,CheckIn,TimeQueue,0.0
2400.0,CheckIn,TimeService,105.73044573292604
2400.0,CheckIn,NumQueue,0.0
2400.0,Varchi,TimeTotal,16.586286789864918
2400.0,Varchi,NumTotal,1.0
2400.0,Varchi,SystemResponseTime_Success,227.40860984134127
2400.0,Varchi,BusyServers,1.0
2400.0,Varchi,TimeQueue,1.6606471688447115
2400.0,Varchi,TimeService,15.00149292542615
2400.0,Varchi,NumQueue,0.0
2400.0,XRay,TimeTotal,50.511021392161396
2400.0,XRay,NumTotal,5.0
2400.0,XRay,SystemResponseTime_Success,227.40860984134127
2400.0,XRay,BusyServers,5.0
2400.0,XRay,TimeQueue,1.4119597567485311
2400.0,XRay,TimeService,49.053218786167776
2400.0,XRay,NumQueue,0.0
2400.0,TraceDetection,TimeTotal,74.72000273031958
2400.0,TraceDetection,NumTotal,0.0
2400.0,TraceDetection,SystemResponseTime_Success,227.40860984134127
2400.0,TraceDetection,BusyServers,0.0
2400.0,TraceDetection,TimeQueue,14.14991561608464
2400.0,TraceDetection,TimeService,60.57008711423494
2400.0,TraceDetection,NumQueue,0.0
2400.0,Recupero,TimeTotal,121.7078636236878
2400.0,Recupero,NumTotal,9.0
2400.0,Recupero,SystemResponseTime_Success,227.40860984134127
2400.0,Recupero,BusyServers,9.0
2400.0,Recupero,TimeQueue,0.0
2400.0,Recupero,TimeService,121.7078636236878
2400.0,Recupero,NumQueue,0.0
2800.0,XRay,TimeTotal,50.814443776403984
2800.0,XRay,NumTotal,1.0
2800.0,XRay,SystemResponseTime_Success,229.2870713713139
2800.0,XRay,BusyServers,1.0
2800.0,XRay,TimeQueue,1.584088137351055
2800.0,XRay,TimeService,49.221651858078445
2800.0,XRay,NumQueue,0.0
2800.0,TraceDetection,TimeTotal,77.13202390483977
2800.0,TraceDetection,NumTotal,0.0
2800.0,TraceDetection,SystemResponseTime_Success,229.2870713713139
2800.0,TraceDetection,BusyServers,0.0
2800.0,TraceDetection,TimeQueue,13.627679831012424
2800.0,TraceDetection,TimeService,63.50434407382735
2800.0,TraceDetection,NumQueue,0.0
2800.0,Varchi,TimeTotal,16.654640479653796
2800.0,Varchi,NumTotal,3.0
2800.0,Varchi,SystemResponseTime_Success,229.2870713713139
2800.0,Varchi,BusyServers,3.0
2800.0,Varchi,TimeQueue,1.6954043785859108
2800.0,Varchi,TimeService,14.931442586664838
2800.0,Varchi,NumQueue,0.0
2800.0,CheckIn,TimeTotal,105.33427954129473
2800.0,CheckIn,NumTotal,6.0
2800.0,CheckIn,SystemResponseTime_Success,229.2870713713139
2800.0,CheckIn,BusyServers,6.0
2800.0,CheckIn,TimeQueue,0.0
2800.0,CheckIn,TimeService,105.33427954129473
2800.0,CheckIn,NumQueue,0.0
2800.0,Recupero,TimeTotal,122.32674006009464
2800.0,Recupero,NumTotal,9.0
2800.0,Recupero,SystemResponseTime_Success,229.2870713713139
2800.0,Recupero,BusyServers,9.0
2800.0,Recupero,TimeQueue,0.0
2800.0,Recupero,TimeService,122.32674006009464
2800.0,Recupero,NumQueue,0.0
3200.0,CheckIn,TimeTotal,108.53304686524018
3200.0,CheckIn,NumTotal,3.0
3200.0,CheckIn,SystemResponseTime_Success,233.49992087974104
3200.0,CheckIn,BusyServers,3.0
3200.0,CheckIn,TimeQueue,0.0
3200.0,CheckIn,TimeService,108.53304686524018
3200.0,CheckIn,NumQueue,0.0
3200.0,XRay,TimeTotal,49.958861892056404
3200.0,XRay,NumTotal,1.0
3200.0,XRay,SystemResponseTime_Success,233.49992087974104
3200.0,XRay,BusyServers,1.0
3200.0,XRay,TimeQueue,1.3738773892665548
3200.0,XRay,TimeService,48.57844222950761
3200.0,XRay,NumQueue,0.0
3200.0,TraceDetection,TimeTotal,75.30213583953405
3200.0,TraceDetection,NumTotal,0.0
3200.0,TraceDetection,SystemResponseTime_Success,233.49992087974104
3200.0,TraceDetection,BusyServers,0.0
3200.0,TraceDetection,TimeQueue,12.910433524117034
3200.0,TraceDetection,TimeService,62.391702315417014
3200.0,TraceDetection,NumQueue,0.0
3200.0,Recupero,TimeTotal,122.96990981974238
3200.0,Recupero,NumTotal,10.0
3200.0,Recupero,SystemResponseTime_Success,233.49992087974104
3200.0,Recupero,BusyServers,10.0
3200.0,Recupero,TimeQueue,0.0
3200.0,Recupero,TimeService,122.96990981974238
3200.0,Recupero,NumQueue,0.0
3200.0,Varchi,TimeTotal,16.769408538467363
3200.0,Varchi,NumTotal,1.0
3200.0,Varchi,SystemResponseTime_Success,233.49992087974104
3200.0,Varchi,BusyServers,1.0
3200.0,Varchi,TimeQueue,1.7759460180368467
3200.0,Varchi,TimeService,14.98504571465783
3200.0,Varchi,NumQueue,0.0
3600.0,CheckIn,TimeTotal,107.78030132654189
3600.0,CheckIn,NumTotal,1.0
3600.0,CheckIn,SystemResponseTime_Success,234.40849373304104
3600.0,CheckIn,BusyServers,1.0
3600.0,CheckIn,TimeQueue,0.0
3600.0,CheckIn,TimeService,107.78030132654189
3600.0,CheckIn,NumQueue,0.0
3600.0,Varchi,TimeTotal,16.85226669771041
3600.0,Varchi,NumTotal,4.0
3600.0,Varchi,SystemResponseTime_Success,234.40849373304104
3600.0,Varchi,BusyServers,4.0
3600.0,Varchi,TimeQueue,1.949012899825655
3600.0,Varchi,TimeService,14.98151113805238
3600.0,Varchi,NumQueue,0.0
3600.0,XRay,TimeTotal,50.613256608242224
3600.0,XRay,NumTotal,4.0
3600.0,XRay,SystemResponseTime_Success,234.40849373304104
3600.0,XRay,BusyServers,4.0
3600.0,XRay,TimeQueue,1.594639418854993
3600.0,XRay,TimeService,48.99215014509087
3600.0,XRay,NumQueue,0.0
3600.0,TraceDetection,TimeTotal,75.30213583953405
3600.0,TraceDetection,NumTotal,2.0
3600.0,TraceDetection,SystemResponseTime_Success,234.40849373304104
3600.0,TraceDetection,BusyServers,1.0
3600.0,TraceDetection,TimeQueue,12.264911847911183
3600.0,TraceDetection,TimeService,62.391702315417014
3600.0,TraceDetection,NumQueue,1.0
3600.0,Recupero,TimeTotal,122.44560028837287
3600.0,Recupero,NumTotal,9.0
3600.0,Recupero,SystemResponseTime_Success,234.40849373304104
3600.0,Recupero,BusyServers,9.0
3600.0,Recupero,TimeQueue,0.0
3600.0,Recupero,TimeService,122.44560028837287
3600.0,Recupero,NumQueue,0.0
4000.0,CheckIn,TimeTotal,106.28896341106302
4000.0,CheckIn,NumTotal,2.0
4000.0,CheckIn,SystemResponseTime_Success,234.15648393494865
4000.0,CheckIn,BusyServers,2.0
4000.0,CheckIn,TimeQueue,0.0
4000.0,CheckIn,TimeService,106.28896341106302
4000.0,CheckIn,NumQueue,0.0
4000.0,Varchi,TimeTotal,16.905368950308276
4000.0,Varchi,NumTotal,0.0
4000.0,Varchi,SystemResponseTime_Success,234.15648393494865
4000.0,Varchi,BusyServers,0.0
4000.0,Varchi,TimeQueue,1.9051369388618378
4000.0,Varchi,TimeService,15.00023201144644
4000.0,Varchi,NumQueue,0.0
4000.0,XRay,TimeTotal,50.349905452812784
4000.0,XRay,NumTotal,4.0
4000.0,XRay,SystemResponseTime_Success,234.15648393494865
4000.0,XRay,BusyServers,4.0
