Metric,NumBatch,Value
Ts_Varchi,1,18.596415218841333
Ts_Varchi,2,18.889761405596786
Ts_Varchi,3,18.48322863357913
Ts_Varchi,4,18.2742935359454
Ts_Varchi,5,18.752930617123113
Ts_Varchi,6,18.646321161657706
Ts_Varchi,7,18.36795056329926
Ts_Varchi,8,19.007824499319046
Ts_Varchi,9,18.767593781553188
Ts_Varchi,10,18.984034952609633
Ts_Varchi,11,18.664309565414065
Ts_Varchi,12,18.904652387413243
Ts_Varchi,13,18.567851907850585
Ts_Varchi,14,18.795368735486974
Ts_Varchi,15,18.735224326176507
Ts_Varchi,16,19.033462122887567
Ts_Varchi,17,18.909090980075497
Ts_Varchi,18,18.916599920092672
Ts_Varchi,19,18.711476482380707
Ts_Varchi,20,18.51754942195416
Ts_Varchi,21,18.726535555990374
Ts_Varchi,22,18.925534005082266
Ts_Varchi,23,18.919420400605922
Ts_Varchi,24,18.15601688912408
Ts_Varchi,25,18.361144045771113
Ts_Varchi,26,19.30277456160216
Ts_Varchi,27,18.523918370579324
Ts_Varchi,28,18.922967190032608
Ts_Varchi,29,18.82804571926654
Ts_Varchi,30,19.013604032738336
Ts_Varchi,31,18.648931866884663
Ts_Varchi,32,18.634010356421747
Ts_Varchi,33,18.616339184746742
Ts_Varchi,34,18.98613809163971
Ts_Varchi,35,19.088056158972527
Ts_Varchi,36,19.217861279845184
Ts_Varchi,37,18.814113185311562
Ts_Varchi,38,18.76751630434694
Ts_Varchi,39,19.00775216982686
Ts_Varchi,40,18.488673692497834
Ts_Varchi,41,18.393893510876147
Ts_Varchi,42,18.83408102229118
Ts_Varchi,43,19.229806419004873
Ts_Varchi,44,18.76220686004995
Ts_Varchi,45,19.31526611962844
Ts_Varchi,46,18.834373295017954
Ts_Varchi,47,19.116716143438815
Ts_Varchi,48,19.024215035488574
Ts_Varchi,49,18.52462017976914
Ts_Varchi,50,18.51424283414747
Ts_Varchi,51,18.364106481323823
Ts_Varchi,52,18.685706821821643
Ts_Varchi,53,18.2591121418594
Ts_Varchi,54,19.143186359357735
