Time,Center,Metric,Value
100.0,Varchi,TimeTotal,17.136609420889002
100.0,Varchi,NumTotal,0.0
100.0,Varchi,SystemResponseTime_Success,0.0
100.0,Varchi,BusyServers,0.0
100.0,Varchi,TimeQueue,2.1556928340197086
100.0,Varchi,TimeService,14.980916586869293
100.0,Varchi,NumQueue,0.0
100.0,TraceDetection,TimeTotal,0.0
100.0,TraceDetection,NumTotal,1.0
100.0,TraceDetection,SystemResponseTime_Success,0.0
100.0,TraceDetection,BusyServers,1.0
100.0,TraceDetection,TimeQueue,0.0
100.0,TraceDetection,TimeService,0.0
100.0,TraceDetection,NumQueue,0.0
100.0,CheckIn,TimeTotal,0.0
100.0,CheckIn,NumTotal,3.0
100.0,CheckIn,SystemResponseTime_Success,0.0
100.0,CheckIn,BusyServers,3.0
100.0,CheckIn,TimeQueue,0.0
100.0,CheckIn,TimeService,0.0
100.0,CheckIn,NumQueue,0.0
100.0,Recupero,TimeTotal,0.0
100.0,Recupero,NumTotal,4.0
100.0,Recupero,SystemResponseTime_Success,0.0
100.0,Recupero,BusyServers,4.0
100.0,Recupero,TimeQueue,0.0
100.0,Recupero,TimeService,0.0
100.0,Recupero,NumQueue,0.0
100.0,XRay,TimeTotal,32.679460477772274
100.0,XRay,NumTotal,4.0
100.0,XRay,SystemResponseTime_Success,0.0
100.0,XRay,BusyServers,4.0
100.0,XRay,TimeQueue,0.0
100.0,XRay,TimeService,32.679460477772274
100.0,XRay,NumQueue,0.0
200.0,XRay,TimeTotal,43.78331991397631
200.0,XRay,NumTotal,7.0
200.0,XRay,SystemResponseTime_Success,141.61752126230775
200.0,XRay,BusyServers,6.0
200.0,XRay,TimeQueue,3.1608762589631185
200.0,XRay,TimeService,43.069179826476606
200.0,XRay,NumQueue,1.0
200.0,TraceDetection,TimeTotal,72.60310937022797
200.0,TraceDetection,NumTotal,0.0
200.0,TraceDetection,SystemResponseTime_Success,141.61752126230775
200.0,TraceDetection,BusyServers,0.0
200.0,TraceDetection,TimeQueue,0.0
200.0,TraceDetection,TimeService,72.60310937022797
200.0,TraceDetection,NumQueue,0.0
200.0,Recupero,TimeTotal,91.87375444838672
200.0,Recupero,NumTotal,11.0
200.0,Recupero,SystemResponseTime_Success,141.61752126230775
200.0,Recupero,BusyServers,11.0
200.0,Recupero,TimeQueue,0.0
200.0,Recupero,TimeService,91.87375444838672
200.0,Recupero,NumQueue,0.0
200.0,Varchi,TimeTotal,17.2598774194319
200.0,Varchi,NumTotal,2.0
200.0,Varchi,SystemResponseTime_Success,141.61752126230775
200.0,Varchi,BusyServers,2.0
200.0,Varchi,TimeQueue,2.546035721580555
200.0,Varchi,TimeService,15.100489182054782
200.0,Varchi,NumQueue,0.0
200.0,CheckIn,TimeTotal,94.34989108500629
200.0,CheckIn,NumTotal,7.0
200.0,CheckIn,SystemResponseTime_Success,141.61752126230775
200.0,CheckIn,BusyServers,7.0
200.0,CheckIn,TimeQueue,0.0
200.0,CheckIn,TimeService,94.34989108500629
200.0,CheckIn,NumQueue,0.0
300.0,Recupero,TimeTotal,113.44622718155404
300.0,Recupero,NumTotal,12.0
300.0,Recupero,SystemResponseTime_Success,202.529838631128
300.0,Recupero,BusyServers,12.0
300.0,Recupero,TimeQueue,0.0
300.0,Recupero,TimeService,113.44622718155404
300.0,Recupero,NumQueue,0.0
300.0,CheckIn,TimeTotal,94.78463381725915
300.0,CheckIn,NumTotal,6.0
300.0,CheckIn,SystemResponseTime_Success,202.529838631128
300.0,CheckIn,BusyServers,6.0
300.0,CheckIn,TimeQueue,0.0
300.0,CheckIn,TimeService,94.78463381725915
300.0,CheckIn,NumQueue,0.0
300.0,Varchi,TimeTotal,17.814741410938634
300.0,Varchi,NumTotal,5.0
300.0,Varchi,SystemResponseTime_Success,202.529838631128
300.0,Varchi,BusyServers,4.0
300.0,Varchi,TimeQueue,3.014538880653668
300.0,Varchi,TimeService,15.55239845772497
300.0,Varchi,NumQueue,1.0
300.0,XRay,TimeTotal,51.919692495558756
300.0,XRay,NumTotal,11.0
300.0,XRay,SystemResponseTime_Success,202.529838631128
300.0,XRay,BusyServers,6.0
300.0,XRay,TimeQueue,10.023344220014403
300.0,XRay,TimeService,44.731422883228106
300.0,XRay,NumQueue,5.0
300.0,TraceDetection,TimeTotal,72.60310937022797
300.0,TraceDetection,NumTotal,1.0
